run,pasm_mode,t_s,a_lat_kin_g,roll_angle_deg
1,Normal,592.175,-0.685249,-3.45978
1,Normal,592.215,-0.692222,-3.87663
1,Normal,592.255,-0.693224,-4.34888
1,Normal,592.295,-0.691128,-4.5118
1,Normal,592.335,-0.689604,-4.27656
1,Normal,592.375,-0.689709,-3.67606
1,Normal,592.415,-0.692271,-2.8775
1,Normal,592.455,-0.695373,-2.05528
1,Normal,592.495,-0.697994,-1.35368
1,Normal,592.535,-0.703018,-0.85141
1,Normal,592.575,-0.711582,-0.819338
1,Normal,592.615,-0.718636,-1.2246
1,Normal,592.655,-0.721511,-1.95509
1,Normal,592.695,-0.724368,-2.56472
1,Normal,592.735,-0.729337,-2.69511
1,Normal,592.775,-0.732646,-2.64888
1,Normal,592.815,-0.735191,-2.74653
1,Normal,592.855,-0.740611,-2.67243
1,Normal,592.895,-0.746844,-2.59449
1,Normal,592.935,-0.752339,-2.40849
1,Normal,592.975,-0.758502,-2.09117
1,Normal,593.015,-0.761806,-1.94492
1,Normal,593.055,-0.763966,-1.95729
1,Normal,593.095,-0.764398,-2.08289
1,Normal,594.575,1.00667,-2.89588
1,Normal,594.615,1.00805,-2.12927
1,Normal,594.655,1.00025,-0.608132
1,Normal,595.415,0.39209,0.06642
1,Normal,596.535,-0.94911,1.42443
1,Normal,596.575,-0.952433,1.47118
1,Normal,596.615,-0.947593,0.556374
1,Normal,598.335,0.834293,-2.62463
1,Normal,598.375,0.843971,-3.9012
1,Normal,598.455,0.868824,-0.575073
1,Normal,598.495,0.879757,2.32183
1,Normal,598.535,0.884015,4.35414
1,Normal,598.575,0.881882,4.91967
1,Normal,598.615,0.873823,4.73639
1,Normal,598.815,0.799248,5.63656
1,Normal,598.855,0.789307,6.14885
1,Normal,598.895,0.78114,6.47341
1,Normal,598.935,0.773308,6.57111
1,Normal,598.975,0.765342,6.35397
1,Normal,600.135,-0.895997,0.156661
1,Normal,600.175,-0.902332,-0.331987
1,Normal,600.215,-0.905935,-0.146833
1,Normal,600.255,-0.908641,0.129799
1,Normal,600.295,-0.911005,0.0573495
1,Normal,600.335,-0.912359,-0.58168
1,Normal,600.375,-0.912057,-1.76641
1,Normal,600.415,-0.910438,-2.80418
1,Normal,600.455,-0.906357,-3.23086
1,Normal,600.495,-0.899072,-3.21846
1,Normal,602.855,0.763251,6.29541
1,Normal,602.895,0.766996,6.12363
1,Normal,602.935,0.764748,5.88686
1,Normal,602.975,0.760409,5.62008
1,Normal,603.015,0.757646,5.69983
1,Normal,603.055,0.757427,5.97033
1,Normal,603.095,0.760003,6.3529
1,Normal,603.135,0.767382,6.69652
1,Normal,603.335,0.841939,7.7029
1,Normal,603.375,0.85223,7.28466
1,Normal,603.415,0.858852,6.31049
1,Normal,603.455,0.863227,5.16461
1,Normal,603.495,0.867461,4.23474
1,Normal,603.535,0.874069,3.67026
1,Normal,603.575,0.881641,3.51587
1,Normal,603.615,0.890964,3.37553
1,Normal,603.775,0.941604,-0.715183
1,Normal,603.815,0.950487,-1.33846
1,Normal,603.855,0.955445,-1.23544
1,Normal,603.895,0.957952,-0.526632
1,Normal,603.935,0.960464,0.145535
