t_s,time_local,lat_deg,lon_deg,east_m,north_m,speed_mps,a_long_g,a_lat_g,yaw_rate_dps,a_lat_kin_g,in_gates
588.08,2026-08-15T15:01:55.520,33.6525740,-117.3018391,57.036,-28.0496,0.0178816,-0.061,0.004,-0.01,-3.181374e-07,0
588.12,2026-08-15T15:01:55.560,33.6525740,-117.3018391,57.036,-28.0496,0.0044704,-0.061,0.005,-0.01,-7.953435e-08,0
588.16,2026-08-15T15:01:55.600,33.6525740,-117.3018391,57.036,-28.0496,0.0178816,-0.061,0.005,-0.01,-3.181374e-07,0
588.2,2026-08-15T15:01:55.640,33.6525740,-117.3018391,57.036,-28.0496,0.0089408,-0.061,0.005,-0.01,-1.590687e-07,0
588.24,2026-08-15T15:01:55.680,33.6525740,-117.3018391,57.036,-28.0496,0.0134112,-0.061,0.005,-0.01,-2.386031e-07,0
588.28,2026-08-15T15:01:55.720,33.6525740,-117.3018391,57.036,-28.0496,0.0357632,-0.061,0.005,-0.02,-1.272550e-06,0
588.32,2026-08-15T15:01:55.760,33.6525740,-117.3018392,57.0267,-28.0496,0.022352,-0.062,0.005,-0.02,-7.953435e-07,0
588.36,2026-08-15T15:01:55.800,33.6525740,-117.3018391,57.036,-28.0496,0.0178816,-0.062,0.005,-0.02,-6.362748e-07,0
588.4,2026-08-15T15:01:55.840,33.6525740,-117.3018391,57.036,-28.0496,0.0268224,-0.061,0.005,-0.02,-9.544122e-07,0
588.44,2026-08-15T15:01:55.880,33.6525740,-117.3018391,57.036,-28.0496,0.0134112,-0.061,0.005,-0.02,-4.772061e-07,0
588.48,2026-08-15T15:01:55.920,33.6525740,-117.3018391,57.036,-28.0496,0.0178816,-0.061,0.004,-0.03,-9.544122e-07,0
588.52,2026-08-15T15:01:55.960,33.6525740,-117.3018391,57.036,-28.0496,0.0178816,-0.061,0.004,-0.02,-6.362748e-07,0
