t_s,ax_g,ay_g,az_g,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,in_gates
2219.85,0.0107422,-0.0126953,0.998047,0,0,0,0
2219.86,0.0151367,0.00439453,0.992188,0,0,0,0
2219.87,0.00732422,-0.00488281,0.993652,0,0,0,0
2219.88,0.00341797,-0.00244141,1.00146,0,0,0,0
2219.89,-0.00195312,0.0126953,1.01074,0,0,0,0
2219.9,0.00585938,-0.00390625,1.00195,0,0,0,0
2219.91,0.0126953,0.0126953,0.996094,0,0,0,0
2219.92,0.00878906,-0.0136719,0.996582,0,0,0,0
2219.93,0.00683594,-0.00390625,0.991211,0,0,0,0
2219.94,-0.00146484,0.0102539,1.00439,0,0,0,0
2219.95,-4.882812e-04,-0.00488281,1.00635,0,0,0,0
2219.96,0.00244141,0.0166016,1.00586,0,0,0,0
2219.97,0.0078125,-0.00683594,0.998535,0,0,0,0
2219.98,0.012207,-0.00292969,0.991211,0,0,0,0
2219.99,0.00488281,-0.00488281,0.996094,0,0,0,0
2220,0,-9.765625e-04,1.00195,0,0,0,0
2220.01,4.882812e-04,0.0151367,1.00391,0,0,0,0
2220.02,0.00683594,-0.00292969,1.00098,0,0,0,0
2220.03,0.00927734,0.00244141,0.996094,0,0,0,0
2220.04,0.00732422,-0.0161133,0.997559,0,0,0,0
2220.05,0.00830078,0.00439453,0.993652,0,0,0,0
2220.05,0.00244141,0.00634766,1.00293,0,0,0,0
2220.06,-4.882812e-04,-0.00341797,1.00244,0,0,0,0
2220.07,0.00292969,0.0131836,1,0,0,0,0
2220.08,0.0107422,-0.0126953,0.996582,0,0,0,0
2220.09,0.0117188,0.00244141,0.995117,0,0,0,0
2220.1,9.765625e-04,-4.882812e-04,0.99707,0,0,0,0
2220.11,-9.765625e-04,0.00341797,1.00146,0,0,0,0
2220.12,-0.00146484,0.00830078,1.00439,0,0,0,0
2220.13,0.00488281,-0.00537109,1.00342,0,0,0,0
